company_name,company_shortname,company_email,company_phone,location,location_lat,location_long,item_id,item_name,tags,image_count,quality_score,availability_count,availability_next_week,availability_next_30days,availability_next_60days,availability_next_90days,availability_next_180days,calendar_link,calendar_script,regular_link,image_url
Get Up and Go Kayaking - The Chaz,getupandgokayaking-chaz,SupportWestFL@getupandgokayaking.com,(352) 676-7295,United States/Florida/Homosassa,,,425975,Chassahowitzka River Clear Kayak Tour | Top-Rated Wildlife Adventure,Kayak-Water Activities,12,96,180,14,60,120,180,360,https://fareharbor.com/embeds/calendar/getupandgokayaking-chaz/items/425975/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/getupandgokayaking-chaz/items/425975/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/getupandgokayaking-chaz/items/425975/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,
Island Boat Adventures,islandboatadventures,info@islandboatadventures.com,727-871-2628,United States/Florida/Gulfport,-82.69614,27.740616,50756,4 hour Egmont Key Island Tour! Snorkeling! Shelling! See Dolphins!,Snorkel,12,92,87,5,27,58,87,179,https://fareharbor.com/embeds/calendar/islandboatadventures/items/50756/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/islandboatadventures/items/50756/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/islandboatadventures/items/50756/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/yG5iSpjLTEWyHhF4csq0
Island Boat Adventures,islandboatadventures,info@islandboatadventures.com,727-871-2628,United States/Florida/Gulfport,-82.69614,27.740616,462785,PRIVATE 4 Hour Shell Key Dolphin Shelling Tour,Boat Tour,9,92,176,8,56,114,176,358,https://fareharbor.com/embeds/calendar/islandboatadventures/items/462785/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/islandboatadventures/items/462785/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/islandboatadventures/items/462785/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/Pi2H4BidRyijk5h9s45I
Island Boat Adventures,islandboatadventures,info@islandboatadventures.com,727-871-2628,United States/Florida/Gulfport,-82.69614,27.740616,62712,2.5 Hour Shell Key Cruise. See Dolphins! Go Shelling!,Boat Tour,11,91,89,6,29,59,89,180,https://fareharbor.com/embeds/calendar/islandboatadventures/items/62712/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/islandboatadventures/items/62712/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/islandboatadventures/items/62712/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/boGQJhQGQrqr2fLFmrob
Island Boat Adventures,islandboatadventures,info@islandboatadventures.com,727-871-2628,United States/Florida/Gulfport,-82.69614,27.740616,462726,PRIVATE 2.5 Hour Shell Key Dolphin Shelling Tour,Boat Tour,5,91,264,12,84,171,264,537,https://fareharbor.com/embeds/calendar/islandboatadventures/items/462726/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/islandboatadventures/items/462726/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/islandboatadventures/items/462726/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/vhoAACllRLWRvol8NFTQ
Island Boat Adventures,islandboatadventures,info@islandboatadventures.com,727-871-2628,United States/Florida/Gulfport,-82.69614,27.740616,51258,Shell Key Sandbar Sunset Cruise,Boat Tour,4,89,88,4,28,57,88,178,https://fareharbor.com/embeds/calendar/islandboatadventures/items/51258/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/islandboatadventures/items/51258/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/islandboatadventures/items/51258/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/ytt5XaOeTgSTnbK1j24f
Get Up and Go Kayaking - Titusville,getupandgokayaking-titusville,support@getupandgokayaking.com,321-291-2592,United States/Florida/Palm Bay,,,424081,Bioluminescent Clear Kayak Tour,Kayak,4,88,231,0,51,141,231,366,https://fareharbor.com/embeds/calendar/getupandgokayaking-titusville/items/424081/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/getupandgokayaking-titusville/items/424081/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/getupandgokayaking-titusville/items/424081/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,
Get Up and Go Kayaking - Titusville,getupandgokayaking-titusville,support@getupandgokayaking.com,321-291-2592,United States/Florida/Palm Bay,,,424105,Merritt Island National Wildlife Refuge Clear Kayak Tour,Kayak,7,88,17,10,17,17,17,18,https://fareharbor.com/embeds/calendar/getupandgokayaking-titusville/items/424105/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/getupandgokayaking-titusville/items/424105/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/getupandgokayaking-titusville/items/424105/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,
Speakeasy Murder,speakeasymurder,hello@speakeasymurder.com,623-270-5115,United States/Florida/Orlando,,,659257,Speakeasy Murder Mystery Dinner Show in Orlando,Theater,4,87,54,3,13,34,54,105,https://fareharbor.com/embeds/calendar/speakeasymurder/items/659257/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/speakeasymurder/items/659257/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/speakeasymurder/items/659257/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/A8Lf6pVQo2iec00vhMbQ
Discover Florida Tours,discoverfloridatours,discoverfloridatours@gmail.com,727-430-2677,United States/Florida/St. Petersburg,,,254975,The Jungle Prada Site History Tour,History Tour,6,85,44,6,31,44,44,45,https://fareharbor.com/embeds/calendar/discoverfloridatours/items/254975/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,"<script src=""https://fareharbor.com/embeds/script/calendar/discoverfloridatours/items/254975/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no""></script>",https://fareharbor.com/embeds/book/discoverfloridatours/items/254975/?asn=fhdn&asn-ref=miamistylerentals&ref=miamistylerentals&bookable-only=yes&full-items=yes&marketplace=yes&flow=no,https://cdn.filestackcontent.com/G844nxS1m5aeldPMnvbg
